track_id,name,artists,album,album_release_date,popularity,duration_ms,spotify_link,emotion
50NyLWxzbf6QMqzzvDETXD,Story of My Life,"Pop Mage, SoSad Girl, linhchou",Story of My Life,2025-07-11,30,220434,https://open.spotify.com/track/50NyLWxzbf6QMqzzvDETXD,sad
3lFdhXWTeFnUnoQGddhQ9X,Hotter Than Hell,"Pop Mage, SoSad Girl, zyrox",Hotter Than Hell,2025-07-09,28,281454,https://open.spotify.com/track/3lFdhXWTeFnUnoQGddhQ9X,sad
0KgsxH9Z7ttdjwQr3OtTBS,Hey There Delilah,"Pop Mage, SoSad Girl, linhchou",Hey There Delilah,2025-07-08,28,265769,https://open.spotify.com/track/0KgsxH9Z7ttdjwQr3OtTBS,sad
34E4OdB4NtGNeACdD2wsgL,Take Me To Church,"Pop Mage, SoSad Girl, linhchou",Take Me To Church,2025-07-04,29,251936,https://open.spotify.com/track/34E4OdB4NtGNeACdD2wsgL,sad
31eOrgkA7qWppWWU72NMtV,Into Your Arms,"Pop Mage, SoSad Girl, linhchou",Into Your Arms,2025-07-03,30,154090,https://open.spotify.com/track/31eOrgkA7qWppWWU72NMtV,sad
1mE9jwZO1rHy6b9rCWsrQi,Miss You,"Pop Mage, SoSad Girl, linhchou",Miss You,2025-07-07,30,210319,https://open.spotify.com/track/1mE9jwZO1rHy6b9rCWsrQi,sad
5JE587BuHx3e9hUcLm0tW5,August,"Pop Mage, SoSad Girl, Rastz",August,2025-07-02,28,221577,https://open.spotify.com/track/5JE587BuHx3e9hUcLm0tW5,sad
4nbIqp1ASfpBfo2kIkRx6H,Thinking Out Loud,"Pop Mage, SoSad Girl, Rastz",Thinking Out Loud,2025-07-01,28,293114,https://open.spotify.com/track/4nbIqp1ASfpBfo2kIkRx6H,sad
3PFq8nWG8SWL7OxuXByF0J,Fallin',"Pop Mage, SoSad Girl, Rastz",Fallin',2025-06-30,28,187500,https://open.spotify.com/track/3PFq8nWG8SWL7OxuXByF0J,sad
1Pv0NMqgTUha3uhkBzUQXy,Die For You,"Pop Mage, SoSad Girl, linhchou",Die For You,2025-06-27,28,307924,https://open.spotify.com/track/1Pv0NMqgTUha3uhkBzUQXy,sad
0n9tDae8UUon9kx5tegSyT,Chandelier,"Pop Mage, SoSad Girl, linhchou",Chandelier,2025-06-26,29,218461,https://open.spotify.com/track/0n9tDae8UUon9kx5tegSyT,sad
4v9iBSwoqvXeaqORo8aLgX,July,"Pop Mage, SoSad Girl, linhchou",July,2025-06-25,28,136659,https://open.spotify.com/track/4v9iBSwoqvXeaqORo8aLgX,sad
2tqLo6V00sXvHR6yUiYJMG,Habits (Stay High),"Pop Mage, SoSad Girl, linhchou",Habits (Stay High),2025-06-24,28,252102,https://open.spotify.com/track/2tqLo6V00sXvHR6yUiYJMG,sad
7DBY8jMQfaY4VopAmKjh6S,Naked,"Pop Mage, SoSad Girl, linhchou",Naked,2025-06-23,27,288888,https://open.spotify.com/track/7DBY8jMQfaY4VopAmKjh6S,sad
7frXsPx0C9idMEUqrRwffs,MIDDLE OF THE NIGHT,"Pop Mage, SoSad Girl, linhchou",MIDDLE OF THE NIGHT,2025-06-20,30,225294,https://open.spotify.com/track/7frXsPx0C9idMEUqrRwffs,sad
2DcBJitC9QAD4Jq1yYcWjy,The Weekend,"Pop Mage, SoSad Girl, linhchou",The Weekend,2025-06-19,29,201481,https://open.spotify.com/track/2DcBJitC9QAD4Jq1yYcWjy,sad
119G5ZmMH05o1ojqDFCHBJ,Maps,"Pop Mage, SoSad Girl, linhchou",Maps,2025-06-18,29,207037,https://open.spotify.com/track/119G5ZmMH05o1ojqDFCHBJ,sad
2OLnSlqrJFCUJnHkAiRhOZ,Falling Like The Stars,"Pop Mage, SoSad Girl, linhchou",Falling Like The Stars,2025-06-17,28,199827,https://open.spotify.com/track/2OLnSlqrJFCUJnHkAiRhOZ,sad
11X6soegeGdIcAUmcuBcR3,Turning Tables,"Pop Mage, SoSad Girl, linhchou",Turning Tables,2025-06-16,28,254560,https://open.spotify.com/track/11X6soegeGdIcAUmcuBcR3,sad
7hOVDd6h0YCZx1OLw8FSr6,Daylight,"Pop Mage, SoSad Girl, linhchou",Daylight,2025-06-13,29,190384,https://open.spotify.com/track/7hOVDd6h0YCZx1OLw8FSr6,sad
